T(I);;;T(II);;;S;
RSD;Valve_Position;;RSD;Valve_Position;;RSD;Valve_Position
-4.00E-05;1243;;1.00E-05;1600;;1.00E-05;1447
-7.00E-05;1243;;1.00E-05;1600;;0;1447
-4.00E-05;1243;;0;1600;;3.00E-05;1447
-4.00E-05;1243;;1.00E-05;1600;;3.00E-05;1447
1.00E-05;1243;;0;1600;;-1.00E-05;1447
-1.00E-05;1243;;1.00E-05;1600;;2.00E-05;1447
0;1243;;0;1600;;3.00E-05;1447
-3.00E-05;1243;;-1.00E-05;1600;;2.00E-05;1447
-1.00E-05;1243;;-1.00E-05;1600;;4.00E-05;1447
1.00E-05;1243;;2.00E-05;1600;;6.00E-05;1447
0;1243;;1.00E-05;1600;;7.00E-05;1447
2.00E-05;1243;;-2.00E-05;1600;;0;1447
-1.00E-05;1243;;-2.00E-05;1600;;0.00017;1447
-2.00E-05;1243;;-2.00E-05;1600;;2.00E-05;1447
2.00E-05;1243;;3.00E-05;1600;;5.00E-05;1447
-1.00E-05;1243;;-2.00E-05;1600;;2.00E-05;1447
2.00E-05;1243;;1.00E-05;1600;;-2.00E-05;1447
4.00E-05;1243;;0;1600;;0.00011;1447
-3.00E-05;1243;;3.00E-05;1600;;2.00E-05;1447
1.00E-05;1243;;-2.00E-05;1600;;5.00E-05;1447
-1.00E-05;1243;;-1.00E-05;1600;;0.00018;1447
3.00E-05;1243;;2.00E-05;1600;;0.00011;1447
1.00E-05;1243;;-3.00E-05;1600;;6.00E-05;1447
0;1243;;0;1600;;5.00E-05;1447
2.00E-05;1243;;0;1600;;0.00012;1447
-1.00E-05;1243;;3.00E-05;1600;;0.00012;1447
-1.00E-05;1243;;-2.00E-05;1600;;-2.00E-05;1447
3.00E-05;1243;;1.00E-05;1600;;5.00E-05;1447
-1.00E-05;1243;;1.00E-05;1600;;0.00016;1447
5.00E-05;1243;;-2.00E-05;1600;;0.00012;1447
2.00E-05;1243;;0;1600;;1.00E-05;1447
3.00E-05;1243;;-2.00E-05;1600;;1.00E-05;1447
2.00E-05;1243;;-1.00E-05;1600;;2.00E-05;1447
1.00E-05;1243;;0;1600;;0;1447
-2.00E-05;1243;;0;1600;;0;1447
0;1243;;3.00E-05;1600;;0.00019;1447
-1.00E-05;1243;;-1.00E-05;1600;;9.00E-05;1447
0;1243;;1.00E-05;1600;;3.00E-05;1447
2.00E-05;1243;;-1.00E-05;1600;;3.00E-05;1447
2.00E-05;1243;;1.00E-05;1600;;0.00018;1447
0;1243;;2.00E-05;1600;;0.00036;1447
1.00E-05;1243;;2.00E-05;1600;;8.00E-05;1447
0;1243;;1.00E-05;1600;;2.00E-05;1447
2.00E-05;1243;;0;1600;;0.00012;1447
2.00E-05;1243;;2.00E-05;1600;;2.00E-05;1447
2.00E-05;1243;;-1.00E-05;1600;;2.00E-05;1447
1.00E-05;1243;;-2.00E-05;1600;;5.00E-05;1447
2.00E-05;1243;;0;1600;;0.00011;1447
2.00E-05;1243;;1.00E-05;1600;;4.00E-05;1447
0;1243;;2.00E-05;1600;;4.00E-05;1447
3.00E-05;1243;;0;1600;;0;1447
0;1243;;1.00E-05;1600;;4.00E-05;1447
2.00E-05;1243;;-1.00E-05;1600;;0.00032;1447
2.00E-05;1243;;-1.00E-05;1600;;-2.00E-05;1447
1.00E-05;1243;;0;1600;;0;1447
-1.00E-05;1243;;0;1600;;2.00E-05;1447
1.00E-05;1243;;1.00E-05;1600;;1.00E-05;1447
0;1243;;-3.00E-05;1600;;1.00E-05;1447
-2.00E-05;1243;;-1.00E-05;1600;;3.00E-05;1447
2.00E-05;1243;;1.00E-05;1600;;2.00E-05;1447
0;1243;;3.00E-05;1600;;0;1447
1.00E-05;1243;;0;1600;;2.00E-05;1447
1.00E-05;1243;;1.00E-05;1600;;1.00E-05;1447
-1.00E-05;1243;;-1.00E-05;1600;;0.00024;1447
-1.00E-05;1243;;-1.00E-05;1600;;2.00E-05;1447
-3.00E-05;1243;;-8.00E-05;1600;;2.00E-05;1447
1.00E-05;1243;;-1.00E-05;1600;;3.00E-05;1447
2.00E-05;1243;;6.00E-05;1600;;0.00011;1447
2.00E-05;1243;;-2.00E-05;1600;;3.00E-05;1447
0;1243;;-1.00E-05;1600;;3.00E-05;1447
1.00E-05;1243;;0;1600;;2.00E-05;1447
-2.00E-05;1243;;1.00E-05;1600;;0;1447
-2.00E-05;1243;;-1.00E-05;1600;;0;1447
0;1243;;-1.00E-05;1600;;4.00E-05;1447
3.00E-05;1243;;3.00E-05;1600;;2.00E-05;1447
0;1243;;2.00E-05;1600;;1.00E-05;1447
-1.00E-05;1243;;0;1600;;2.00E-05;1447
2.00E-05;1243;;0;1600;;0;1447
0;1243;;2.00E-05;1600;;0;1447
-2.00E-05;1243;;-1.00E-05;1600;;2.00E-05;1447
0;1243;;-1.00E-05;1600;;0.0001;1447
-2.00E-05;1243;;0;1600;;0.00026;1447
0;1243;;-1.00E-05;1600;;5.00E-05;1447
-4.00E-05;1243;;0;1600;;7.00E-05;1447
0;1243;;-1.00E-05;1600;;4.00E-05;1447
1.00E-05;1243;;2.00E-05;1600;;4.00E-05;1447
-1.00E-05;1243;;-2.00E-05;1600;;0.00027;1447
2.00E-05;1243;;2.00E-05;1600;;0.0002;1447
-1.00E-05;1243;;2.00E-05;1600;;7.00E-05;1447
0;1243;;2.00E-05;1600;;0.00024;1447
-3.00E-05;1243;;3.00E-05;1600;;0.00025;1447
-1.00E-05;1243;;4.00E-05;1600;;0.0001;1447
2.00E-05;1243;;0;1600;;2.00E-05;1447
1.00E-05;1243;;8.00E-05;1600;;0;1447
2.00E-05;1243;;0.00011;1600;;3.00E-05;1447
0;1243;;-9.00E-05;1600;;5.00E-05;1447
4.00E-05;1243;;-0.00013;1600;;1.00E-05;1447
-1.00E-05;1243;;-0.00018;1600;;5.00E-05;1447
4.00E-05;1243;;0.0003;1600;;7.00E-05;1447
1.00E-05;1243;;4.00E-05;1600;;8.00E-05;1447
0;1243;;-0.00054;1600;;-0.001937;1447
-2.00E-05;1243;;4.00E-05;1600;;0.00013;1447
0;1243;;-0.00159;1600;;-0.0164;1447
1.00E-05;1243;;-0.00265;1600;;2.00E-05;1407
0;1243;;0.00102;1587;;7.00E-05;1407
2.00E-05;1243;;-0.00253;1587;;-0.02311;1407
4.00E-05;1243;;-0.001;1575;;0.00016;1367
-1.00E-05;1243;;-0.00207;1575;;8.00E-05;1367
0;1243;;0.00011;1565;;-0.0117;1367
-2.00E-05;1243;;-0.04093;1565;;0;1327
-3.00E-05;1243;;0.00066;1525;;7.00E-05;1327
-2.00E-05;1243;;0.00064;1525;;7.00E-05;1327
2.00E-05;1243;;0.00075;1525;;3.00E-05;1327
2.00E-05;1243;;-0.00672;1525;;-1.00E-05;1327
-2.00E-05;1243;;-0.02637;1492;;3.00E-05;1327
0;1243;;4.00E-05;1452;;0.00226;1327
2.00E-05;1243;;3.00E-05;1452;;4.00E-05;1338
