100;6E-05;1000;;300;0.05921;1000;;600;0.01803;1000;;1200;0.06642;1000;;4800;0.03099;1000
T mode;-0.0003;1000;;;0.04709;1040;;;0.05372;1040;;;0.07316;1040;;;0.07241;1040
;0.05571;1000;;;0.06407;1080;;;0.06573;1080;;;0.06961;1080;;;0.0724;1080
;0.00115;1040;;;0.05379;1120;;;0.06836;1120;;;0.07532;1120;;;0.07494;1120
;0.05697;1040;;;0.0676;1160;;;0.00198;1160;;;0.07401;1160;;;0.07234;1160
;0.06224;1080;;;0.05128;1200;;;0.07067;1160;;;0.0754;1200;;;0.07226;1200
;7E-05;1120;;;0.01204;1240;;;0.0664;1200;;;0.07639;1240;;;0.0764;1240
;0.04946;1120;;;0.00125;1280;;;0.03146;1240;;;0.07493;1280;;;0.07132;1280
;2E-05;1160;;;0.03393;1280;;;0.0687;1280;;;0.07408;1320;;;0.07293;1320
;0.04575;1160;;;0.0658;1320;;;-0.00005;1320;;;0.00057;1360;;;0.04912;1360
;0.04465;1200;;;0.0643;1360;;;1E-05;1320;;;1E-05;1360;;;-0.02917;1400
;0.03882;1240;;;1E-05;1400;;;0.00011;1320;;;0.00004;1360;;;0.00002;1360
;0.05561;1280;;;0.00026;1400;;;-0.00004;1320;;;-0.00186;1360;;;-0.00017;1360
;-1E-04;1320;;;-0.00019;1400;;;6E-05;1320;;;-0.00078;1360;;;-0.00019;1360
;1E-05;1320;;;-0.00019;1400;;;4E-05;1320;;;2E-05;1360;;;-0.00106;1360
;-0.00011;1320;;;-0.00003;1400;;;0.00015;1320;;;0.00003;1360;;;-0.00021;1360
;-0.00003;1320;;;-0.00014;1400;;;0.00005;1320;;;-1E-05;1360;;;-0.00006;1360
;0.00001;1320;;;-0.00007;1400;;;-1E-05;1320;;;1E-05;1360;;;0;1360
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
S mode;-0.00004;1000;;;0.039;1000;;;0.03801;1000;;;0.0511;1000;;;0.0373;1000
;0.04119;1000;;;0.03639;1040;;;0.03748;1040;;;0.042;1040;;;0.03726;1040
;0.029;1040;;;0.04189;1080;;;0.0411;1080;;;0.04971;1080;;;0.05342;1080
;-0.00001;1080;;;0.04226;1120;;;0.041;1120;;;0.043;1120;;;0.03944;1120
;0.04051;1080;;;0.04135;1160;;;0.04808;1160;;;0.04149;1160;;;0.05089;1160
;0.03784;1120;;;0.04277;1200;;;0.04131;1200;;;0.04838;1200;;;0.0497;1200
;0;1160;;;0.00002;1240;;;0.03791;1240;;;0.0481;1240;;;0.04818;1240
;0.04234;1160;;;0.0508;1240;;;0.04729;1280;;;0.04069;1280;;;0.04709;1280
;0.04171;1200;;;0.03859;1280;;;0.03803;1320;;;0.04301;1320;;;0.04817;1320
;0.04172;1240;;;0.03071;1320;;;-0.00002;1360;;;0.04337;1360;;;0.04109;1360
;0.04095;1280;;;-0.00001;1360;;;-0.00002;1360;;;0.03837;1400;;;-1E-05;1400
;-0.00004;1320;;;-1E-05;1360;;;-0.00004;1360;;;-0.00002;1440;;;0;1400
;-0.00004;1320;;;-0.00002;1360;;;-0.00002;1360;;;-0.00002;1440;;;-0.00002;1400
;-1E-05;1320;;;0.00001;1360;;;-0.00002;1360;;;-0.00002;1440;;;1E-05;1400
;-0.00002;1320;;;-0.00003;1360;;;-1E-05;1360;;;-0.00003;1440;;;-0.00002;1400
;-0.00003;1320;;;0.00002;1360;;;-0.00002;1360;;;1E-05;1440;;;0.00001;1400
;-0.00001;1320;;;-0.00002;1360;;;-1E-05;1360;;;-0.00002;1440;;;0;1400
;0.00001;1320;;;-0.00005;1360;;;0;1360;;;-0.00003;1440;;;1E-05;1400
;-0.00004;1320;;;0.00002;1360;;;-1E-05;1360;;;-0.00001;1440;;;-0.00001;1400
