,,0.0441,1160,,,0.03555,1200,,,0.05234,1200,,,0.0492,1200,,,0.03912,1200,,,0.0336,1080,,,0.03404,1120,
,,0.04053,1200,,,0.00012,1240,,,0.05045,1240,,,0.04352,1240,,,-1.00E-05,1200,,,-2.00E-05,1120,,,-1.00E-05,1160,
,,0.04424,1240,,,0.00014,1240,,,0.05794,1280,,,0.02921,1280,,,0.04571,1240,,,2.00E-05,1120,,,-1.50E-04,1160,
,,0.02996,1280,,,0.04304,1240,,,0.04802,1320,,,0.04384,1320,,,0.04103,1280,,,1.00E-05,1120,,,3.30E-04,1160,
,,-5.00E-05,1320,,,0.04368,1280,,,0.04307,1360,,,0.047,1360,,,2.00E-05,1280,,,0.03833,1120,,,0.04116,1160,
,,0,1320,,,0.02996,1320,,,0.00003,1400,,,-1.00E-05,1400,,,0.05471,1320,,,0.03523,1160,,,0.03632,1200,
,,-4.00E-05,1320,,,3.00E-05,1360,,,-0.00003,1400,,,-0.03832,1400,,,1.00E-05,1320,,,-2.00E-05,1200,,,3.61E-02,1240,
,,0.03398,1320,,,0.02228,1360,,,0.00001,1400,,,3.00E-05,1360,,,0.03592,1360,,,0.04959,1200,,,1.00E-05,1280,
,,0.04406,1360,,,-3.00E-05,1400,,,0.00001,1400,,,0,1360,,,0,1360,,,0.03808,1240,,,-1.00E-05,1280,
,,0.03075,1400,,,-1.00E-05,1400,,,-2.00E-05,1400,,,-2.00E-05,1360,,,-1.00E-05,1360,,,0.03,1280,,,5.00E-05,1280,
,,3.00E-05,1440,,,-6.00E-05,1400,,,0,1400,,,0,1360,,,1.00E-05,1360,,,-1.00E-05,1320,,,-4.00E-05,1280,
,,1.00E-05,1440,,,-3.00E-05,1400,,,0.00002,1400,,,-1.00E-05,1360,,,1.00E-05,1360,,,-1.00E-05,1320,,,2.87E-02,1280,
,,-0.00015,1440,,,9.00E-05,1400,,,0.00001,1400,,,-1.00E-05,1360,,,5.00E-05,1360,,,3.00E-05,1320,,,1.00E-05,1320,
,,-0.00014,1440,,,4.00E-05,1400,,,1.00E-05,1400,,,-1.00E-05,1360,,,0.00013,1360,,,0,1320,,,0.00025,1320,
